year,reviewer_id,book_title,book_author,score,n_pos,n_neg,n_total,pos_share,neg_share,sentiment_index
2025,R8,Новая Россия. Коридоры возможного: почему трансформация России невозможна без опоры на веру и моральные ценности.,,5.0,0,0,0,,,
2025,R17,Об интегральном измерении украинского кризиса. Иллюзия виртуальности и реальность иллюзий,,8.0,0,0,0,,,
2025,R17,Работа мечты. За кулисами индустрии моды,,9.5,2,0,2,1.0,0.0,1.0
2025,R17,"Самоорганизация граждан, благотворительность и третий сектор: теории, история и современные тенденции",,9.5,0,0,0,,,
2025,R8,Обуздание негативного. Критика современности.,,6.0,1,6,7,0.14285714285714285,0.8571428571428571,-0.7142857142857143
2024,R2,ПОЛИТИКА РАЗЛИЧИЙ: КУЛЬТУРНЫЙ ПЛЮРАЛИЗМ И ИДЕНТИЧНОСТЬ,,10.0,3,1,4,0.75,0.25,0.5
2024,R2,"ИДЕНТИЧНОСТЬ: ЛИЧНОСТЬ, ОБЩЕСТВО, ПОЛИТИКА",,9.0,2,1,3,0.6666666666666666,0.3333333333333333,0.3333333333333333
2024,R2,ДЕВИАНТОЛОГИЯ - СОЦИОЛОГИЯ И ПСИХОЛОГИЯ ЗЛА,,8.0,2,3,5,0.4,0.6,-0.2
2024,R2,ПЕРМАНЕНТНАЯ СОВРЕМЕННОСТЬ И ДИНАМИКА КУЛЬТУРЫ,,7.0,0,4,4,0.0,1.0,-1.0
2023,R22,Жирные,,5.0,8,5,13,0.6153846153846154,0.38461538461538464,0.23076923076923078
2023,R22,Постправда. Знание как борьба за власть,,8.0,13,2,15,0.8666666666666667,0.13333333333333333,0.7333333333333333
2023,R22,Состояние постмодерна. Исследование истоков культурных изменений,,8.333333333333334,6,4,10,0.6,0.4,0.2
2023,R22,Разум в тумане войны: Наука и технологии на полях сражений,,5.0,8,2,10,0.8,0.2,0.6
2023,R22,Моральное воспитание,,8.0,11,8,19,0.5789473684210527,0.42105263157894735,0.15789473684210525
2025,R12,"Самоорганизация граждан, благотворительность и третий сектор: теории, история и современные тенденции",,10.0,8,10,18,0.4444444444444444,0.5555555555555556,-0.1111111111111111
2025,R9,Российское общественное мнение в условиях военного конфликта. 2022-2023.,,8.0,5,4,9,0.5555555555555556,0.4444444444444444,0.1111111111111111
2023,R10,Рабочий класс в СССР. Жизнь в условиях патернализма.,,7.0,1,1,2,0.5,0.5,0.0
